id,slug,name,brand,sku,category,subCategory,priceMin,priceMax,priceRange,priceUnit,material,finish,color,dimensions,installationType,warranty,origin,availability,status,stockNote,image,images,imageAlt,imageVerified,imageSourceUrl,style,compatibleStyles,suitableFor,suitableRoomSize,budgetSegment,description,features,technicalSpecs,careInstructions,includedItems,showroomName,showroomLocation,showroomContact,sellerType,soldBy,fulfilledBy,commerceType,supplierType,sourceUrl,priceSource,sourceNote
llv-lav-toto-lt1705-xw,chau-lavabo-toto-lt1705-xw-dat-ban,Chậu Lavabo TOTO LT1705#XW Đặt Bàn,TOTO,LT1705#XW,Lavabo,Lavabo đặt bàn,4350000,5682000,4.350.000đ – 5.682.000đ,sản phẩm,Sứ vệ sinh,"Trắng bóng, men CeFiONtect",Trắng,550 x 380 x 125 mm,Đặt bàn,Theo chính sách TOTO/Luxbath,Việt Nam,Còn hàng,Còn hàng,Cần xác nhận tồn kho showroom trước khi báo giá cuối.,https://luxbath.vn/images/products/2025/11/19/large/chau-lavabo-toto-lt1705-xw-dat-ban_1763538255.jpg,https://luxbath.vn/images/products/2025/11/19/large/chau-lavabo-toto-lt1705-xw-dat-ban_1763538255.jpg,Chậu Lavabo TOTO LT1705#XW đặt bàn màu trắng,TRUE,https://luxbath.vn/images/products/2025/11/19/large/chau-lavabo-toto-lt1705-xw-dat-ban_1763538255.jpg,Modern,Modern|Hotel|Minimal,Phòng tắm căn hộ|Phòng tắm master|Concept khách sạn,4–8 m²,30–60 triệu,"Chậu lavabo đặt bàn TOTO LT1705#XW có dáng oval mềm, men CeFiONtect chống bám bẩn, phù hợp khu lavabo cần cảm giác cao cấp và dễ vệ sinh.",Men CeFiONtect chống bám bẩn|Kiểu đặt nổi trên bàn đá|Dáng oval hiện đại|Phối tốt với vòi cổ cao,Mã sản phẩm: LT1705#XW|Kích thước: 550 x 380 x 125 mm|Màu sắc: Trắng|Kiểu chậu: Dương bàn/đặt bàn|Sản phẩm không bao gồm vòi và bộ xả,Lau bằng khăn mềm và dung dịch vệ sinh không có tính mài mòn.,Chậu lavabo; không bao gồm vòi và bộ xả,Luxbath,"116 Thanh Đàm, Hà Nội",0989123788,Retailer tham khảo,LivLab,Luxbath,Quote-based commerce,Retailer tham khảo,https://luxbath.vn/chau-lavabo-toto-lt1705-dat-ban-p6156.html,Giá tham khảo từ Luxbath,"Thông tin, giá và ảnh tham khảo từ trang sản phẩm Luxbath; giá cuối cần xác nhận theo tồn kho và thời điểm."
llv-lav-toto-lt1735-xw,chau-lavabo-toto-lt1735-xw-dat-ban,Chậu Lavabo TOTO LT1735#XW Đặt Bàn,TOTO,LT1735#XW,Lavabo,Lavabo đặt bàn,4380000,5510000,4.380.000đ – 5.510.000đ,sản phẩm,Sứ vệ sinh,"Trắng bóng, men CeFiONtect",Trắng,550 x 380 x 125 mm,Đặt bàn,Theo chính sách TOTO/Luxbath,Việt Nam,Còn hàng,Còn hàng,Cần xác nhận tồn kho showroom.,https://luxbath.vn/images/products/2025/11/19/large/chau-lavabo-toto-lt1735-dat-ban_1763538195.jpg,https://luxbath.vn/images/products/2025/11/19/large/chau-lavabo-toto-lt1735-dat-ban_1763538195.jpg,Chậu Lavabo TOTO LT1735 đặt bàn,TRUE,https://luxbath.vn/images/products/2025/11/19/large/chau-lavabo-toto-lt1735-dat-ban_1763538195.jpg,Modern,Modern|Minimal|Hotel,Phòng tắm căn hộ|Phòng tắm sáng màu|Combo 30–60 triệu,4–8 m²,30–60 triệu,"Chậu lavabo đặt bàn TOTO LT1735#XW có dáng chữ nhật bo mềm, bề mặt sứ trắng và men chống bám bẩn, phù hợp concept phòng tắm hiện đại.",Kiểu đặt bàn sang trọng|Men CeFIontect chống bám bẩn|Dễ phối với vòi vuông hiện đại|Phù hợp mặt bàn đá,Mã sản phẩm: LT1735#XW|Kích thước: 550 x 380 x 125 mm|Màu sắc: Trắng|Kiểu dáng: đặt nổi trên bàn đá|Không bao gồm vòi và bộ xả,Không dùng vật nhám chà bề mặt men.,Chậu lavabo; không bao gồm vòi và bộ xả,Luxbath,"116 Thanh Đàm, Hà Nội",0989123788,Retailer tham khảo,LivLab,Luxbath,Quote-based commerce,Retailer tham khảo,https://luxbath.vn/chau-lavabo-toto-lt1735-dat-ban-p6157.html,Giá tham khảo từ Luxbath,"Thông tin, giá và ảnh tham khảo từ trang sản phẩm Luxbath."
llv-lav-toto-lw573jwf,chau-lavabo-toto-lw573jwf-dat-ban,Chậu Lavabo Dương Bàn Đá TOTO LW573JW/F#W,TOTO,LW573JW/F#W,Lavabo,Lavabo đặt bàn,3352000,4190000,3.352.000đ – 4.190.000đ,sản phẩm,Sứ vệ sinh,Trắng bóng,Trắng,420 x 420 x 125 mm,Đặt bàn,Theo chính sách TOTO/Luxbath,Indonesia,Còn hàng/tùy thời điểm,Còn hàng,Một số thời điểm có thể tạm hết; cần xác nhận tồn kho.,https://luxbath.vn/images/products/2025/11/19/large/chau-lavabo-duong-ban-da-toto-lw573jw-f-w-nhap-khau-indonesia_1763538069.jpg,https://luxbath.vn/images/products/2025/11/19/large/chau-lavabo-duong-ban-da-toto-lw573jw-f-w-nhap-khau-indonesia_1763538069.jpg,Chậu Lavabo TOTO LW573JW/F đặt bàn tròn,TRUE,https://luxbath.vn/images/products/2025/11/19/large/chau-lavabo-duong-ban-da-toto-lw573jw-f-w-nhap-khau-indonesia_1763538069.jpg,Japandi,Japandi|Minimal|Warm Neutral,Phòng tắm nhỏ|Phòng tắm Japandi|Lavabo tròn mềm mại,3–6 m²,Dưới 30 triệu,"Chậu lavabo TOTO LW573JW/F dáng tròn đặt bàn, kích thước gọn, hợp phòng tắm nhỏ hoặc concept Japandi cần đường nét mềm mại.",Dáng tròn tối giản|Không có lỗ thoát tràn|Phù hợp mặt bàn đá/gỗ chống ẩm|Dễ phối gương tròn,Mã sản phẩm: LW573JW/F#W|Kích thước: 420 x 420 x 125 mm|Màu sắc: Trắng|Kiểu lắp đặt: Đặt bàn|Thiết kế không có lỗ thoát tràn,"Vệ sinh định kỳ bằng khăn mềm, tránh hóa chất tẩy mạnh.",Chậu lavabo; không bao gồm vòi và bộ xả,Luxbath,"116 Thanh Đàm, Hà Nội",0989123788,Retailer tham khảo,LivLab,Luxbath,Quote-based commerce,Retailer tham khảo,https://luxbath.vn/chau-lavabo-toto-lw573jwf-dat-ban-p6159.html,Giá tham khảo từ Luxbath,"Thông tin, giá và ảnh tham khảo từ trang sản phẩm Luxbath."
llv-lav-toto-lw1233b,chau-lavabo-toto-lw1233b-goc-treo-tuong,Chậu Lavabo TOTO LW1233B Góc Treo Tường,TOTO,LW1233B,Lavabo,Lavabo góc,4650000,4650000,4.650.000đ,sản phẩm,Sứ vệ sinh,Trắng bóng,Trắng,320 x 320 x 160 mm,Treo tường/góc,Theo chính sách TOTO/Luxbath,Trung Quốc,Còn hàng/tùy thời điểm,Còn hàng,Cần xác nhận tồn kho showroom.,https://luxbath.vn/images/products/2025/11/19/large/chau-lavabo-toto-lw1233b-goc-treo-tuong_1763538136.jpg,https://luxbath.vn/images/products/2025/11/19/large/chau-lavabo-toto-lw1233b-goc-treo-tuong_1763538136.jpg,Chậu Lavabo góc TOTO LW1233B treo tường,TRUE,https://luxbath.vn/images/products/2025/11/19/large/chau-lavabo-toto-lw1233b-goc-treo-tuong_1763538136.jpg,Compact,Compact|Minimal|Budget,Phòng tắm siêu nhỏ|Nhà cho thuê|Góc rửa phụ,2–4 m²,Dưới 30 triệu,"Chậu lavabo góc TOTO LW1233B giúp tận dụng góc phòng, phù hợp không gian nhỏ cần tiết kiệm diện tích.",Thiết kế góc nhỏ gọn|Treo tường tiết kiệm sàn|Phù hợp phòng tắm phụ|Dễ phối phụ kiện cơ bản,Mã sản phẩm: LW1233B|Kích thước: 320 x 320 x 160 mm|Màu sắc: Trắng|Kiểu chậu: Treo tường/góc|Chưa bao gồm vòi và bộ xả,Lau khô vùng thoát nước sau khi sử dụng để hạn chế cặn.,Chậu lavabo; không bao gồm vòi và bộ xả,Luxbath,"116 Thanh Đàm, Hà Nội",0989123788,Retailer tham khảo,LivLab,Luxbath,Quote-based commerce,Retailer tham khảo,https://luxbath.vn/chau-lavabo-toto-lw1233b-goc-treo-tuong-p6158.html,Giá tham khảo từ Luxbath,"Thông tin, giá và ảnh tham khảo từ trang sản phẩm Luxbath."
llv-lav-toto-lt300c,chau-rua-mat-toto-lt300c-treo-tuong,Chậu Rửa Mặt Treo Tường TOTO LT300C,TOTO,LT300C,Lavabo,Lavabo treo tường,780000,952000,780.000đ – 952.000đ,sản phẩm,Sứ vệ sinh,Trắng bóng,Trắng,430 x 500 x 190 mm,Treo tường,Theo chính sách TOTO/Luxbath,Việt Nam,Còn hàng,Còn hàng,Cần xác nhận tồn kho showroom.,https://luxbath.vn/images/products/2025/11/19/large/chau-rua-mat-treo-tuong-toto-lt300c_1763538632.jpg,https://luxbath.vn/images/products/2025/11/19/large/chau-rua-mat-treo-tuong-toto-lt300c_1763538632.jpg,Chậu rửa mặt treo tường TOTO LT300C,TRUE,https://luxbath.vn/images/products/2025/11/19/large/chau-rua-mat-treo-tuong-toto-lt300c_1763538632.jpg,Budget,Budget|Minimal|Rental,Nhà cho thuê|Phòng tắm nhỏ|Combo tiết kiệm,2–5 m²,Dưới 30 triệu,"Chậu treo tường TOTO LT300C có kích thước gọn, giá dễ tiếp cận, phù hợp phòng tắm nhỏ hoặc nhà cho thuê cần tối ưu chi phí.",Treo tường tiết kiệm diện tích|Có lỗ thoát tràn|Giá tham khảo thấp|Dễ bảo trì,Mã sản phẩm: LT300C|Kích thước: 430 x 500 x 190 mm|Thiết kế có lỗ thoát tràn|Màu sắc: Trắng|Xuất xứ: Việt Nam,"Vệ sinh định kỳ, tránh va đập mạnh vào mép chậu.",Chậu lavabo; phụ kiện/vòi tùy combo,Luxbath,"116 Thanh Đàm, Hà Nội",0989123788,Retailer tham khảo,LivLab,Luxbath,Quote-based commerce,Retailer tham khảo,https://luxbath.vn/chau-rua-mat-treo-tuong-toto-lt300c-p3364.html,Giá tham khảo từ Luxbath,"Thông tin, giá và ảnh tham khảo từ trang sản phẩm Luxbath."
llv-lav-toto-lht300cm,chau-rua-mat-toto-lht300cm-treo-tuong-chan-lung,Chậu Rửa Mặt Treo Tường Chân Lửng TOTO LHT300CM,TOTO,LHT300CM,Lavabo,Lavabo treo tường chân lửng,1245000,1480000,1.245.000đ – 1.480.000đ,sản phẩm,Sứ vệ sinh,Trắng bóng,Trắng,500 x 430 mm,Treo tường chân lửng,Theo chính sách TOTO/Luxbath,Việt Nam,Còn hàng,Còn hàng,Cần xác nhận tồn kho showroom.,https://luxbath.vn/images/products/2025/11/19/large/chau-rua-mat-treo-tuong-toto-lht300cm_1763538542.jpg,https://luxbath.vn/images/products/2025/11/19/large/chau-rua-mat-treo-tuong-toto-lht300cm_1763538542.jpg,Chậu rửa mặt TOTO LHT300CM treo tường chân lửng,TRUE,https://luxbath.vn/images/products/2025/11/19/large/chau-rua-mat-treo-tuong-toto-lht300cm_1763538542.jpg,Budget,Budget|Rental|Family-friendly,Phòng tắm gia đình|Nhà phố|Combo tiết kiệm,3–6 m²,Dưới 30 triệu,"Chậu rửa mặt TOTO LHT300CM có chân lửng che ống xả, phù hợp phòng tắm gia đình cần gọn gàng hơn so với chậu treo tường cơ bản.",Thiết kế có lỗ thoát tràn|Lòng chậu sâu rộng|Chân lửng che ống thoát|Dễ dùng cho gia đình,Mã sản phẩm: LHT300CM|Kích thước: 500 x 430 mm|Thiết kế có lỗ thoát tràn|Màu sắc: Trắng|Xuất xứ: Việt Nam,Vệ sinh bề mặt và khu vực chân chậu định kỳ.,Chậu và chân lửng; phụ kiện khác tùy cấu hình,Luxbath,"116 Thanh Đàm, Hà Nội",0989123788,Retailer tham khảo,LivLab,Luxbath,Quote-based commerce,Retailer tham khảo,https://luxbath.vn/chau-rua-mat-treo-tuong-toto-lht300cm-p3365.html,Giá tham khảo từ Luxbath,"Thông tin, giá và ảnh tham khảo từ trang sản phẩm Luxbath."
llv-lav-toto-lht328c,chau-rua-mat-toto-lht328c-treo-tuong,Chậu Rửa Mặt Treo Tường Chân Lửng TOTO LHT328C,TOTO,LHT328C,Lavabo,Lavabo treo tường chân lửng,2400000,3000000,2.400.000đ – 3.000.000đ,sản phẩm,Sứ vệ sinh,Trắng bóng,Trắng,420 x 480 x 470 mm,Treo tường chân lửng,Theo chính sách TOTO/Luxbath,Việt Nam,Còn hàng/tùy thời điểm,Còn hàng,Cần xác nhận tồn kho showroom.,https://luxbath.vn/images/products/2025/11/19/large/chau-rua-mat-treo-tuong-chan-lung-toto-lht328c_1763533573.jpg,https://luxbath.vn/images/products/2025/11/19/large/chau-rua-mat-treo-tuong-chan-lung-toto-lht328c_1763533573.jpg,Chậu rửa mặt treo tường chân lửng TOTO LHT328C,TRUE,https://luxbath.vn/images/products/2025/11/19/large/chau-rua-mat-treo-tuong-chan-lung-toto-lht328c_1763533573.jpg,Modern,Modern|Family-friendly|Minimal,Phòng tắm gia đình|Nhà phố|Căn hộ,3–6 m²,Dưới 30 triệu,"TOTO LHT328C là chậu treo tường chân lửng, dáng chữ nhật chắc chắn, phù hợp gia đình cần chậu có lòng rộng và che ống gọn.",Chân lửng gọn gàng|Có lỗ thoát tràn|Lòng chậu rộng|Dễ phối với vòi nóng lạnh,Mã sản phẩm: LHT328C|Kích thước: 420 x 480 x 470 mm|Thiết kế với lỗ thoát tràn|Màu sắc: Trắng|Xuất xứ: Việt Nam,Không dùng hóa chất ăn mòn mạnh lên bề mặt men.,Chậu và chân lửng; phụ kiện khác tùy cấu hình,Luxbath,"116 Thanh Đàm, Hà Nội",0989123788,Retailer tham khảo,LivLab,Luxbath,Quote-based commerce,Retailer tham khảo,https://luxbath.vn/toto-lht328c-p44310.html,Giá tham khảo thị trường/Luxbath,Thông tin và ảnh tham khảo từ Luxbath; giá cần xác nhận.
llv-lav-toto-sk322,chau-da-nang-toto-sk322-sk322f-treo-tuong,Chậu Dịch Vụ Đa Năng TOTO SK322/SK322F#W Treo Tường,TOTO,SK322/SK322F#W,Lavabo,Chậu dịch vụ,11192000,13990000,11.192.000đ – 13.990.000đ,sản phẩm,Sứ vệ sinh,Trắng bóng,Trắng,560 x 456 mm,Treo tường/chân dài,10 năm,Việt Nam,Còn hàng,Còn hàng,Cần xác nhận tồn kho showroom.,https://luxbath.vn/images/products/2025/11/19/large/chau-dich-vu-da-nang-toto-sk322-sk322f-w-treo-tuong_1763538419.jpg,https://luxbath.vn/images/products/2025/11/19/large/chau-dich-vu-da-nang-toto-sk322-sk322f-w-treo-tuong_1763538419.jpg,Chậu dịch vụ đa năng TOTO SK322/SK322F,TRUE,https://luxbath.vn/images/products/2025/11/19/large/chau-dich-vu-da-nang-toto-sk322-sk322f-w-treo-tuong_1763538419.jpg,Utility,Family-friendly|Utility|Modern,Khu giặt phụ|Phòng vệ sinh dịch vụ|Nhà phố,4–8 m²,Trên 60 triệu,"Chậu dịch vụ đa năng TOTO SK322/SK322F phù hợp khu phụ trợ hoặc không gian cần chậu sâu, bền, dễ vệ sinh.",Chậu sâu đa năng|Bao gồm ống thoát thải S-Trap DL501SR|Chân dài dễ sử dụng|Sứ trắng bền,Mã sản phẩm: SK322/SK322F|Kích thước: 560 x 456 mm|Màu sắc: Trắng|Bao gồm ống thoát thải S-Trap DL501SR|Xuất xứ: Việt Nam,Lau vệ sinh sau khi dùng với vật dụng bẩn để tránh cặn bám.,Chậu dịch vụ và ống thoát S-Trap DL501SR,Luxbath,"116 Thanh Đàm, Hà Nội",0989123788,Retailer tham khảo,LivLab,Luxbath,Quote-based commerce,Retailer tham khảo,https://luxbath.vn/chau-da-nang-toto-sk322sk322f-treo-tuong-p6155.html,Giá tham khảo từ Luxbath,"Thông tin, giá và ảnh tham khảo từ trang sản phẩm Luxbath."
llv-fau-toto-tx109ld,voi-lavabo-lanh-toto-tx109ld,Vòi Lavabo Lạnh TOTO TX109LD,TOTO,TX109LD,Vòi lavabo,Vòi lavabo lạnh,1856000,2320000,1.856.000đ – 2.320.000đ,sản phẩm,Đồng thau,Nickel Chrome,Chrome,,Gắn chậu/gắn bàn,2 năm,Việt Nam,Còn hàng/tùy thời điểm,Còn hàng,Cần xác nhận tồn kho showroom trước khi báo giá cuối.,https://luxbath.vn/images/products/2025/11/27/large/voi-lavabo-lanh-toto-tx109ld_1764235119.jpg,https://luxbath.vn/images/products/2025/11/27/large/voi-lavabo-lanh-toto-tx109ld_1764235119.jpg,Vòi Lavabo Lạnh TOTO TX109LD,TRUE,https://luxbath.vn/images/products/2025/11/27/large/voi-lavabo-lanh-toto-tx109ld_1764235119.jpg,Modern,Modern|Budget|Rental,Lavabo treo tường|Nhà cho thuê|Combo tiết kiệm,Theo concept/phòng,Dưới 30 triệu,"Vòi lavabo lạnh TOTO TX109LD có lớp mạ Nickel Chrome, thân đồng thau và tay gạt đơn, phù hợp khu lavabo cơ bản cần chi phí hợp lý.",Vòi nước lạnh|Lớp mạ bền|Thân đồng thau|Van đĩa sứ chống bám cặn,Áp lực nước: 0.05–0.75 MPa|Lớp mạ: Nickel Chrome|Không bao gồm bộ xả và ống thải chữ P,"Vệ sinh định kỳ bằng khăn mềm, tránh hóa chất tẩy mạnh.",Theo cấu hình sản phẩm; phụ kiện đi kèm cần xác nhận khi báo giá.,Luxbath,"116 Thanh Đàm, Hà Nội",0989123788,Retailer tham khảo,LivLab,Luxbath,Quote-based commerce,Retailer tham khảo,https://luxbath.vn/voi-lavabo-lanh-toto-tx109ld-p1145.html,Giá tham khảo từ Luxbath,"Thông tin, giá và ảnh tham khảo từ trang sản phẩm Luxbath; giá cuối cần xác nhận theo tồn kho, thời điểm và phương án lắp đặt."
llv-fau-toto-tlg02301b-bfg,voi-lavabo-toto-tlg02301b-bfg-vang-phap-mo,Vòi Chậu Rửa Mặt TOTO TLG02301B#BFG Vàng Pháp Mờ,TOTO,TLG02301B#BFG,Vòi lavabo,Vòi lavabo nóng lạnh,5560000,6950000,5.560.000đ – 6.950.000đ,sản phẩm,Đồng thau,Vàng Pháp mờ,Vàng,,Gắn chậu/gắn bàn,2 năm,Việt Nam/Trung Quốc theo cấu hình,Còn hàng/tùy thời điểm,Còn hàng,Cần xác nhận tồn kho showroom trước khi báo giá cuối.,https://luxbath.vn/images/products/2025/11/26/large/voi-chau-rua-mat-toto-tlg02301b-bfg_1764131026.jpg,https://luxbath.vn/images/products/2025/11/26/large/voi-chau-rua-mat-toto-tlg02301b-bfg_1764131026.jpg,Vòi Chậu Rửa Mặt TOTO TLG02301B#BFG Vàng Pháp Mờ,TRUE,https://luxbath.vn/images/products/2025/11/26/large/voi-chau-rua-mat-toto-tlg02301b-bfg_1764131026.jpg,Luxury,Luxury|Hotel|Modern,Phòng tắm hotel-style|Lavabo đặt bàn|Concept cao cấp,Theo concept/phòng,30–60 triệu,"Vòi lavabo TOTO TLG02301B#BFG có finish vàng Pháp mờ, thân đồng thau và thiết kế vuông hiện đại, phù hợp concept luxury/hotel.",Finish vàng mờ cao cấp|Thân van đồng thau|Van đĩa sứ chống bám cặn|Phù hợp lavabo đặt bàn,Áp lực nước: 0.05–0.75 MPa|Chất liệu: Đồng thau|Số chân: 1 chân|Chức năng: Nóng lạnh,"Vệ sinh định kỳ bằng khăn mềm, tránh hóa chất tẩy mạnh.",Theo cấu hình sản phẩm; phụ kiện đi kèm cần xác nhận khi báo giá.,Luxbath,"116 Thanh Đàm, Hà Nội",0989123788,Retailer tham khảo,LivLab,Luxbath,Quote-based commerce,Retailer tham khảo,https://luxbath.vn/toto-tlg02301b-bfg-p42309.html,Giá tham khảo từ Luxbath,"Thông tin, giá và ảnh tham khảo từ trang sản phẩm Luxbath; giá cuối cần xác nhận theo tồn kho, thời điểm và phương án lắp đặt."
llv-fau-toto-tlg02301b-pfg,voi-lavabo-toto-tlg02301b-pfg-vang-phap-bong,Vòi Chậu Rửa Mặt TOTO TLG02301B#PFG Vàng Pháp Bóng,TOTO,TLG02301B#PFG,Vòi lavabo,Vòi lavabo nóng lạnh,5168000,6460000,5.168.000đ – 6.460.000đ,sản phẩm,Đồng thau,Vàng Pháp bóng,Vàng,,Gắn chậu/gắn bàn,2 năm,Việt Nam/Trung Quốc theo cấu hình,Còn hàng/tùy thời điểm,Còn hàng,Cần xác nhận tồn kho showroom trước khi báo giá cuối.,https://luxbath.vn/images/products/2025/11/26/large/toto-tlg02301b-pfg_1764131524.jpg,https://luxbath.vn/images/products/2025/11/26/large/toto-tlg02301b-pfg_1764131524.jpg,Vòi Chậu Rửa Mặt TOTO TLG02301B#PFG Vàng Pháp Bóng,TRUE,https://luxbath.vn/images/products/2025/11/26/large/toto-tlg02301b-pfg_1764131524.jpg,Luxury,Luxury|Hotel|Modern,Phòng tắm master|Concept sang trọng|Lavabo đặt bàn,Theo concept/phòng,30–60 triệu,"Vòi TOTO TLG02301B#PFG có finish vàng Pháp bóng, phù hợp tạo điểm nhấn trên khu lavabo cao cấp.",Finish vàng bóng|Thân van đồng thau|Van đĩa sứ|Dễ phối với phụ kiện ánh kim,Áp lực nước: 0.05–0.75 MPa|Chất liệu: Đồng thau|Vị trí: Trên chậu|Chức năng: Nóng lạnh,"Vệ sinh định kỳ bằng khăn mềm, tránh hóa chất tẩy mạnh.",Theo cấu hình sản phẩm; phụ kiện đi kèm cần xác nhận khi báo giá.,Luxbath,"116 Thanh Đàm, Hà Nội",0989123788,Retailer tham khảo,LivLab,Luxbath,Quote-based commerce,Retailer tham khảo,https://luxbath.vn/toto-tlg02301b-pfg-p42308.html,Giá tham khảo từ Luxbath,"Thông tin, giá và ảnh tham khảo từ trang sản phẩm Luxbath; giá cuối cần xác nhận theo tồn kho, thời điểm và phương án lắp đặt."
